A�O;MES;CODIGO_RNT;COD_MUN;COD_DPTO;ESTADO_RNT;RAZON_SOCIAL_ESTABLECIMIENTO;DEPARTAMENTO;MUNICIPIO;CATEGORIA;SUB_CATEGORIA;HABITACIONES;CAMAS;NUM_EMP
2024;4;206555;13001;13;ACTIVO;PAULINA  SERNA SALAZAR;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;4;0
2024;4;206557;13001;13;ACTIVO;VIVA LATIN AMERICA SAS.;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;3;0
2024;4;206582;13001;13;ACTIVO;YEPES GIRALDO LIDA MARIA;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;CASA TURISTICA;3;5;0
2024;4;206583;13001;13;ACTIVO;MARTHA NHORA SOLER RODRIGUEZ;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;7;0
2024;4;206596;13001;13;ACTIVO;WM + BRANDING S.A.S;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;1;0
2024;4;206597;13001;13;ACTIVO;ELITE APARTMENTS S.A.S.;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;10;0
2024;4;206599;13001;13;ACTIVO;WM + BRANDING S.A.S;BOLIVAR;CARTAGENA;VIVIENDAS TURISTICAS;APARTAMENTO TURISTICO;1;2;0
2024;4;206600;13001;13;ACTIVO;MI BODA EN CARTAGENA;BOLIVAR;CARTAGENA;ORGANIZADORES DE BODA DESTINO;ORGANIZADORES DE BODA DESTINO;0;0;1
2024;4;206609;13001;13;ACTIVO;CARTAGENA WORLD TOURS;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;0
2024;4;206611;13001;13;ACTIVO;PUNTO DE ENCUENTRO HOSPEDAJE RESTAURANTE 7;BOLIVAR;CARTAGENA;ESTABLECIMIENTOS DE ALOJAMIENTO TURISTICO;HOTEL;8;8;1
